"agency_cd" "site_no" "station_nm" "site_tp_cd" "lat_va" "long_va" "dec_lat_va" "dec_long_va" "coord_meth_cd" "coord_acy_cd" "coord_datum_cd" "dec_coord_datum_cd" "district_cd" "state_cd" "county_cd" "country_cd" "land_net_ds" "map_nm" "map_scale_fc" "alt_va" "alt_meth_cd" "alt_acy_va" "alt_datum_cd" "huc_cd" "basin_cd" "topo_cd" "instruments_cd" "construction_dt" "inventory_dt" "drain_area_va" "contrib_drain_area_va" "tz_cd" "local_time_fg" "reliability_cd" "gw_file_cd" "nat_aqfr_cd" "aqfr_cd" "aqfr_type_cd" "well_depth_va" "hole_depth_va" "depth_src_cd" "project_no" "Record_Length" "Flow_Change" "SUM_NA" "Presence"
"11" "USGS" "03025500" "Allegheny River at Franklin, PA" "ST" 412322 794914 41.3895027 -79.8203322 "M" "S" "NAD27" "NAD83" "42" "42" "121" "US" NA NA NA 955.84 "L" 0.01 "NGVD29" "05010003" NA NA "NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN" NA 19141001 5982 NA "EST" "Y" NA "NNNNNNNN" NA NA NA NA NA NA NA 31046 5 0 "9"
"12" "USGS" "03031500" "Allegheny River at Parker, PA" "ST" 410602 794053 41.10061789 -79.68116 "M" "S" "NAD27" "NAD83" "42" "42" "005" "US" NA NA NA 845.14 "L" 0.01 "NGVD29" "05010006" NA NA "NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN" NA 19321001 7671 NA "EST" "Y" NA "NNNNNNNN" NA NA NA NA NA NA NA 31046 5 0 "9"
"13" "USGS" "03036500" "Allegheny River at Kittanning, PA" "ST" 404913 793154 40.82034197 -79.531434 "M" "S" "NAD27" "NAD83" "42" "42" "005" "US" NA NA NA 773.4 "L" 0.01 "NGVD29" "05010006" NA NA "NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN" NA NA 8973 NA "EST" "Y" NA "NNNNNNNN" NA NA NA NA NA NA NA 31046 5 0 "9"
"14" "USGS" "03075070" "Monongahela River at Elizabeth, PA" "ST" 401544 795405 40.26229225 -79.9011597 "M" "S" "NAD27" "NAD83" "42" "42" "003" "US" NA "Glassport" NA 717.9 "L" 0.01 "NGVD29" "05020005" NA NA "NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN" NA NA 5340 NA "EST" "Y" NA "NNNNNNNN" NA NA NA NA NA NA NA 31046 5 0 "11"
"15" "USGS" "03086000" "Ohio River at Sewickley, PA" "ST" 403257 801221 40.5492342 -80.2056148 "M" "S" "NAD27" "NAD83" "42" "42" "003" "US" NA NA NA 680 "L" 0.01 "NGVD29" "05030101" NA NA "NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN" NA NA 19500 NA "EST" "Y" NA "NNNNNNNN" NA NA NA NA NA NA NA 31046 5 0 "10"
"16" "USGS" "03105500" "Beaver River at Wampum, PA" "ST" 405319 802014 40.88867389 -80.3370083 "M" "S" "NAD27" "NAD83" "42" "42" "073" "US" NA NA NA 736.24 "L" 0.01 "NGVD29" "05030104" NA NA "NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN" NA NA 2235 NA "EST" "Y" NA "NNNNNNNN" NA NA NA NA NA NA "444200150" 31046 5 0 "10"
"17" "USGS" "03129000" "Tuscarawas River at Newcomerstown OH" "ST" 401541 813633 40.2614593 -81.6090097 "M" "S" "NAD27" "NAD83" "39" "39" "157" "US" NA NA NA 779.36 "D" 0.01 "NAVD88" "05040001" NA NA "NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN" NA NA 2443 2443 "EST" "Y" NA "NNNNNNNN" NA NA NA NA NA NA NA 31046 5 0 "6"
"18" "USGS" "03168000" "NEW RIVER AT ALLISONIA, VA" "ST" 365615 804445 36.93762235 -80.7456257 "M" "U" "NAD27" "NAD83" "51" "51" "155" "US" NA "HIWASSEE" "  24000" 1848.36 "L" 0.01 "NGVD29" "05050001" NA NA "NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN" NA 19901213 2212 NA "EST" "Y" NA "NNNNNNNN" NA NA NA NA NA NA NA 31046 5 0 "19"
"19" "USGS" "03176500" "NEW RIVER AT GLEN LYN, VA" "ST" 372222 805139 37.3728986 -80.8606347 "M" "U" "NAD27" "NAD83" "51" "51" "071" "US" NA "NARROWS" "  24000" 1489.73 "Z" 0.8 "NAVD88" "05050002" NA NA "NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN" NA 19901213 3783 NA "EST" "Y" NA "NNNNNNNN" NA NA NA NA NA NA NA 31046 5 0 "19"
"20" "USGS" "03193000" "KANAWHA RIVER AT KANAWHA FALLS, WV" "ST" 380817 811252 38.1381632 -81.2142745 "M" "F" "NAD27" "NAD83" "54" "54" "019" "US" NA NA NA 620.39 "Y" 0.1 "NAVD88" "05050006" NA NA "NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN" NA NA 8371 8371 "EST" "Y" NA "NNNNNNNN" NA NA NA NA NA NA NA 31046 5 0 "19"
